model,kategori,n_dasar,dasar_toleran,konstan_toleran,n_dilatih,dilatih_toleran,dilatih_tepat
gemma4-e2b,asal,50,14.0,12.0,50,78.0,78.0
gemma4-e2b,asal_abstain,50,12.0,100.0,50,82.0,0.0
gemma4-e2b,birama,50,10.0,72.0,50,72.0,72.0
gemma4-e2b,hitung_bar,50,82.0,46.0,50,100.0,100.0
gemma4-e2b,jenis,50,52.0,52.0,50,52.0,46.0
gemma4-e2b,judul_ke_baris,50,0.0,2.0,50,0.0,0.0
gemma4-e2b,judul_ke_lirik,50,0.0,2.0,50,2.0,2.0
gemma4-e2b,judul_ke_notasi,50,0.0,2.0,50,8.0,2.0
gemma4-e2b,lanjut_lirik,50,0.0,2.0,50,12.0,8.0
gemma4-e2b,lirik_ke_judul,50,2.0,4.0,50,22.0,22.0
gemma4-e2b,nada_dasar,50,4.0,66.0,50,78.0,78.0
gemma4-e2b,nada_tertinggi,50,12.0,24.0,50,100.0,100.0
gemma4-e2b,notasi_ke_judul,50,0.0,6.0,50,82.0,82.0
gemma4-e2b,pencipta,50,4.0,14.0,50,40.0,40.0
gemma4-e2b,pencipta_abstain,50,62.0,100.0,50,98.0,82.0
gemma4-e2b,rumpang,50,0.0,4.0,50,20.0,20.0
gemma4-e2b,tempo,50,0.0,14.0,50,26.0,26.0
gemma4-e2b,tempo_abstain,2,0.0,100.0,2,0.0,0.0
gemma4-e2b,verifikasi_asal,50,50.0,54.0,50,68.0,60.0
gemma4-e2b,verifikasi_nada_dasar,50,52.0,46.0,50,72.0,70.0
gemma4-e2b,verifikasi_pencipta,50,44.0,48.0,50,60.0,42.0
