run_id,model_id,regime,tag,contoh,epoch,langkah,seed,gpu,lora_r,lora_alpha,learning_rate,detik_latih,detik_total,detik_per_langkah,menit_latih,memori_gb,usd_per_jam,usd,loss_awal,loss_akhir,epoch_terbaik,sha_data_latih
gemma4-e2b-full-s1,google/gemma-4-E2B-it,full,run,14250,3,2673,1,NVIDIA L40S,16,32,,6424.5,6460.7,2.403,107.1,12.6,1.95,3.5,7.398,0.2183,3.0,a96ea1daf986fc54
gemma4-e2b-full-s1-final,google/gemma-4-E2B-it,full,final,20944,2,2618,1,NVIDIA L4,16,32,0.0004,9451.6,9513.1,3.61,157.5,12.5,0.8,2.114,6.9171,0.1571,2.0,70d497ae4cc62c62
gemma4-e2b-full-s1-lr1e4,google/gemma-4-E2B-it,full,lr1e4,20970,2,2622,1,NVIDIA L4,16,32,0.0001,9275.8,9340.5,3.538,154.6,12.5,0.8,2.076,7.0098,0.2151,2.0,f71707cd4d7951ed
gemma4-e2b-full-s1-lr4e4,google/gemma-4-E2B-it,full,lr4e4,20970,2,2622,1,NVIDIA L4,16,32,0.0004,9802.7,9870.6,3.739,163.4,12.5,0.8,2.193,6.8383,0.0932,2.0,f71707cd4d7951ed
gemma4-e2b-full-s1-penuh,google/gemma-4-E2B-it,full,penuh,20970,3,3933,1,NVIDIA L40S,16,32,0.0002,5494.5,5524.5,1.397,91.6,12.5,1.95,2.992,7.0023,0.0803,3.0,f71707cd4d7951ed
gemma4-e2b-full-s1-penuh15,google/gemma-4-E2B-it,full,penuh15,20944,3,3927,1,NVIDIA L40S,16,32,0.0002,9425.9,9467.9,2.4,157.1,12.5,1.95,5.128,7.1167,0.0782,3.0,70d497ae4cc62c62
gemma4-e2b-full-s1-r32,google/gemma-4-E2B-it,full,r32,20970,2,2622,1,NVIDIA L4,16,32,0.0002,7045.1,7091.4,2.687,117.4,13.0,0.8,1.576,6.8608,0.1047,2.0,f71707cd4d7951ed
gemma4-e2b-full-s1-r8,google/gemma-4-E2B-it,full,r8,20970,2,2622,1,NVIDIA L4,16,32,0.0002,9514.9,9578.9,3.629,158.6,12.3,0.8,2.129,7.0085,0.1953,2.0,f71707cd4d7951ed
gemma4-e2b-full-s1-seimbang,google/gemma-4-E2B-it,full,seimbang,14250,3,2673,1,NVIDIA L40S,16,32,,6376.7,6415.0,2.386,106.3,12.6,1.95,3.475,6.0417,0.1096,3.0,6fed0e6ab42ca6ae
TOTAL,,,,,,,,,,,,72811.7,,,1213.5,,,25.18,,,,
