kategori,n,dasar,konstan,dilatih,selisih,catatan
asal,50,14.0,12.0,100.0,88.0,naik
asal_abstain,50,12.0,100.0,100.0,0.0,semu
birama,50,12.0,72.0,100.0,28.0,naik
hitung_bar,50,90.0,16.0,100.0,84.0,naik
jenis,50,54.0,50.0,100.0,50.0,naik
judul_ke_baris,50,0.0,2.0,30.0,28.0,naik
judul_ke_lirik,50,0.0,2.0,92.0,90.0,naik
judul_ke_notasi,50,0.0,4.0,2.0,-2.0,
lanjut_lirik,50,0.0,2.0,64.0,62.0,naik
lirik_ke_judul,50,0.0,4.0,14.0,10.0,naik
nada_dasar,50,2.0,74.0,100.0,26.0,naik
nada_tertinggi,50,16.0,22.0,100.0,78.0,naik
notasi_ke_judul,50,0.0,8.0,90.0,82.0,naik
pencipta,50,4.0,18.0,100.0,82.0,naik
pencipta_abstain,50,62.0,100.0,100.0,0.0,semu
rumpang,50,2.0,4.0,28.0,24.0,naik
tempo,50,0.0,12.0,100.0,88.0,naik
tempo_abstain,2,0.0,100.0,100.0,0.0,semu
verifikasi_asal,50,42.0,54.0,86.0,32.0,naik
verifikasi_nada_dasar,50,48.0,50.0,72.0,22.0,naik
verifikasi_pencipta,50,32.0,48.0,52.0,4.0,
JUMLAH,1002,,,19.5,,dasar
JUMLAH,1002,,,32.8,,konstan
JUMLAH,1002,,,76.5,,dilatih
