model,kategori,n_dasar,dasar_toleran,konstan_toleran,n_dilatih,dilatih_toleran,dilatih_tepat
gemma4-e2b,asal,19,15.8,21.1,19,15.8,15.8
gemma4-e2b,asal_abstain,18,16.7,100.0,18,77.8,0.0
gemma4-e2b,birama,19,10.5,63.2,19,57.9,57.9
gemma4-e2b,hitung_bar,50,14.0,38.0,50,100.0,100.0
gemma4-e2b,jenis,37,67.6,51.4,37,54.1,10.8
gemma4-e2b,judul_ke_baris,50,0.0,4.0,50,0.0,0.0
gemma4-e2b,judul_ke_lirik,37,0.0,2.7,37,0.0,0.0
gemma4-e2b,judul_ke_notasi,50,0.0,2.0,50,0.0,0.0
gemma4-e2b,lanjut_lirik,50,0.0,2.0,50,0.0,0.0
gemma4-e2b,lirik_ke_judul,50,34.0,4.0,50,6.0,6.0
gemma4-e2b,nada_dasar,37,0.0,70.3,37,70.3,70.3
gemma4-e2b,nada_tertinggi,50,12.0,26.0,50,98.0,98.0
gemma4-e2b,notasi_ke_judul,50,0.0,8.0,50,0.0,0.0
gemma4-e2b,pencipta,19,5.3,15.8,19,10.5,10.5
gemma4-e2b,pencipta_abstain,18,55.6,100.0,18,83.3,5.6
gemma4-e2b,rumpang,50,0.0,2.0,50,14.0,14.0
gemma4-e2b,tempo,36,0.0,19.4,36,2.8,2.8
gemma4-e2b,verifikasi_asal,38,28.9,50.0,38,65.8,28.9
gemma4-e2b,verifikasi_nada_dasar,50,54.0,44.0,50,70.0,64.0
gemma4-e2b,verifikasi_pencipta,38,31.6,50.0,38,52.6,13.2
