kategori,n,dasar,konstan,dilatih,selisih,catatan
asal,19,15.8,21.1,15.8,-5.3,turun
asal_abstain,18,16.7,100.0,77.8,-22.2,turun
birama,19,10.5,63.2,57.9,-5.3,turun
hitung_bar,50,14.0,38.0,100.0,62.0,naik
jenis,37,67.6,51.4,54.1,2.7,
judul_ke_baris,50,0.0,4.0,0.0,-4.0,
judul_ke_lirik,37,0.0,2.7,0.0,-2.7,
judul_ke_notasi,50,0.0,2.0,0.0,-2.0,
lanjut_lirik,50,0.0,2.0,0.0,-2.0,
lirik_ke_judul,50,34.0,4.0,6.0,2.0,
nada_dasar,37,0.0,70.3,70.3,0.0,semu
nada_tertinggi,50,12.0,26.0,98.0,72.0,naik
notasi_ke_judul,50,0.0,8.0,0.0,-8.0,turun
pencipta,19,5.3,15.8,10.5,-5.3,turun
pencipta_abstain,18,55.6,100.0,83.3,-16.7,turun
rumpang,50,0.0,2.0,14.0,12.0,naik
tempo,36,0.0,19.4,2.8,-16.7,turun
verifikasi_asal,38,28.9,50.0,65.8,15.8,naik
verifikasi_nada_dasar,50,54.0,44.0,70.0,26.0,naik
verifikasi_pencipta,38,31.6,50.0,52.6,2.6,
JUMLAH,766,,,16.2,,dasar
JUMLAH,767,,,27.6,,konstan
JUMLAH,766,,,36.7,,dilatih
