model,kategori,n_dasar,dasar_toleran,konstan_toleran,n_dilatih,dilatih_toleran,dilatih_tepat
gemma4-e2b,asal,19,15.8,21.1,19,15.8,15.8
gemma4-e2b,asal_abstain,18,11.1,100.0,18,77.8,0.0
gemma4-e2b,birama,19,10.5,63.2,19,57.9,57.9
gemma4-e2b,hitung_bar,50,84.0,40.0,50,38.0,38.0
gemma4-e2b,jenis,37,56.8,51.4,37,54.1,10.8
gemma4-e2b,judul_ke_baris,50,0.0,2.0,43,0.0,0.0
gemma4-e2b,judul_ke_lirik,37,0.0,2.7,37,0.0,0.0
gemma4-e2b,judul_ke_notasi,50,0.0,4.0,42,0.0,0.0
gemma4-e2b,lanjut_lirik,50,0.0,2.0,47,0.0,0.0
gemma4-e2b,lirik_ke_judul,49,2.0,4.1,44,2.3,2.3
gemma4-e2b,nada_dasar,37,0.0,70.3,37,70.3,70.3
gemma4-e2b,nada_tertinggi,50,10.0,14.0,48,29.2,29.2
gemma4-e2b,notasi_ke_judul,50,4.0,6.0,48,0.0,0.0
gemma4-e2b,pencipta,19,5.3,15.8,19,10.5,10.5
gemma4-e2b,pencipta_abstain,18,55.6,100.0,18,83.3,5.6
gemma4-e2b,rumpang,50,2.0,4.0,42,2.4,2.4
gemma4-e2b,tempo,36,0.0,19.4,36,2.8,2.8
gemma4-e2b,tempo_abstain,1,0.0,100.0,0,0,0
gemma4-e2b,verifikasi_asal,38,44.7,50.0,38,65.8,21.1
gemma4-e2b,verifikasi_nada_dasar,50,56.0,42.0,44,50.0,31.8
gemma4-e2b,verifikasi_pencipta,38,39.5,50.0,38,42.1,2.6
