kategori,n,dasar,konstan,dilatih,selisih,catatan
asal,19,15.8,21.1,15.8,-5.3,turun
asal_abstain,18,11.1,100.0,77.8,-22.2,turun
birama,19,10.5,63.2,57.9,-5.3,turun
hitung_bar,50,84.0,40.0,38.0,-2.0,
jenis,37,56.8,51.4,54.1,2.7,
judul_ke_baris,43,0.0,2.0,0.0,-2.0,
judul_ke_lirik,37,0.0,2.7,0.0,-2.7,
judul_ke_notasi,42,0.0,4.0,0.0,-4.0,
lanjut_lirik,47,0.0,2.0,0.0,-2.0,
lirik_ke_judul,44,2.0,4.1,2.3,-1.8,
nada_dasar,37,0.0,70.3,70.3,0.0,semu
nada_tertinggi,48,10.0,14.0,29.2,15.2,naik
notasi_ke_judul,48,4.0,6.0,0.0,-6.0,turun
pencipta,19,5.3,15.8,10.5,-5.3,turun
pencipta_abstain,18,55.6,100.0,83.3,-16.7,turun
rumpang,42,2.0,4.0,2.4,-1.6,
tempo,36,0.0,19.4,2.8,-16.7,turun
verifikasi_asal,38,44.7,50.0,65.8,15.8,naik
verifikasi_nada_dasar,44,56.0,42.0,50.0,8.0,
verifikasi_pencipta,38,39.5,50.0,42.1,-7.9,turun
JUMLAH,766,,,19.6,,dasar
JUMLAH,766,,,26.9,,konstan
JUMLAH,724,,,26.2,,dilatih
