dataset,model,prompt,akurasi,n
indommlu,apertus-sealion-8b-base,netral,33.9,2000
indommlu,base,lagu,35.1,2000
indommlu,base,netral,34.4,2000
indommlu,final,lagu,44.0,2000
indommlu,final,netral,43.6,2000
indommlu,gemma4-e4b-base,netral,36.6,2000
indommlu,granite42-8b-base,netral,27.9,2000
indommlu,lfm25-2b-base,netral,28.6,2000
indommlu,lr4e4,lagu,45.5,2000
indommlu,lr4e4,netral,47.0,2000
indommlu,ornith-9b-base,netral,34.6,2000
indommlu,qwen-sealion-4b-base,netral,35.6,2000
indommlu,qwen35-4b-base,netral,29.6,2000
indommlu,qwen35-9b-base,netral,31.6,2000
indommlu,sahabatai-9b-base,netral,48.4,2000
indommlu,sealion-e2b-base,netral,34.2,2000
indommlu,sealion-v35-8b-base,netral,32.4,2000
indommlu,smollm3-3b-base,netral,30.3,2000
indommlu,acak,,23.4,2000
indoculture,apertus-sealion-8b-base,netral,56.3,2429
indoculture,base,lagu,58.3,2429
indoculture,base,netral,58.7,2429
indoculture,final,lagu,53.7,2429
indoculture,final,netral,54.6,2429
indoculture,gemma4-e4b-base,netral,61.4,2429
indoculture,granite42-8b-base,netral,47.2,2429
indoculture,lfm25-2b-base,netral,46.7,2429
indoculture,lr4e4,lagu,56.4,2429
indoculture,lr4e4,netral,56.9,2429
indoculture,ornith-9b-base,netral,56.7,2429
indoculture,qwen-sealion-4b-base,netral,57.6,2429
indoculture,qwen35-4b-base,netral,49.9,2429
indoculture,qwen35-9b-base,netral,56.4,2429
indoculture,sahabatai-9b-base,netral,65.5,2429
indoculture,sealion-e2b-base,netral,59.0,2429
indoculture,sealion-v35-8b-base,netral,53.9,2429
indoculture,smollm3-3b-base,netral,49.0,2429
indoculture,acak,,33.3,2429
